FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.2243,5806,6740,Sortedam Dossering,,Østerbro,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2017-05-24T16:38:21.05,MULTIPOINT ((12.57311708886548 55.69499259470751))
affaldskurv.2244,6251,6740,Sortedam Dossering,,Østerbro,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.572678981424257 55.69438843996549))
affaldskurv.2245,5530,6740,Sortedam Dossering,,Østerbro,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2017-05-24T16:37:54.19,MULTIPOINT ((12.572805263120797 55.694628263085455))
affaldskurv.2246,5804,6740,Sortedam Dossering,,Østerbro,4,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.577412402570136 55.69720782398854))
affaldskurv.2247,5802,6740,Sortedam Dossering,,Østerbro,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.574551507133476 55.69585623027318))
affaldskurv.2248,5780,6740,Sortedam Dossering,,Østerbro,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.576144128488881 55.696631967005516))
affaldskurv.2249,5276,6824,Staunings Plads,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 1,2001-08-07T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.5641602282968 55.6786877627433))
affaldskurv.2250,10349,6824,Staunings Plads,0,Vesterbro-Kongens Enghave,,Pizzakurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-06-27T16:30:57,2014-09-09T09:53:27,MULTIPOINT ((12.562930170292239 55.67766835972097))
affaldskurv.2251,8578,6844,Stefansgade,0,Nørrebro,,Københavnerkurv,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.539610607347454 55.69137866609288))
affaldskurv.2252,8576,6844,Stefansgade,0,Nørrebro,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.539457935277234 55.69101993108457))
affaldskurv.2253,6829,6844,Stefansgade,,Nørrebro,4,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-03T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.542043988971042 55.69390777541507))
affaldskurv.2254,6701,6844,Stefansgade,,Nørrebro,4,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-03T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.543225544996263 55.695043150955364))
affaldskurv.2255,6700,6844,Stefansgade,,Nørrebro,4,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-03T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.542636334458702 55.69442153704087))
